"weight","lon","lat","interval"
11,121.27980,25.05623,15
2,121.31085,24.82522,15
4,121.43809,25.18213,15
50,121.44247,25.04405,15
2,121.44862,25.20656,15
118,121.45099,25.06850,15
11,121.51728,24.95403,15
102,121.52406,25.09685,15
9,121.54422,24.96731,15
14,121.54837,25.02605,15
4,121.55789,25.04123,15
53,121.56708,25.07965,15
3,121.69297,24.68304,15
5,121.72221,25.13212,15
3,121.78935,25.13903,15
2,120.13364,23.24156,16
1,120.16553,22.99729,16
1,120.29545,22.79397,16
1,120.35837,22.66712,16
2,120.39419,23.26455,16
1,120.42625,23.70708,16
1,120.42969,23.85938,16
1,120.43791,23.47368,16
5,120.51400,24.15250,16
2,120.52179,22.78290,16
1,120.52771,23.44181,16
1,120.59720,22.67519,16
10,120.76200,24.40523,16
9,120.78654,24.61413,16
2,120.87314,24.69131,16
5,121.08280,24.74390,16
3,121.23267,24.94557,16
3,121.23543,24.94886,16
1,121.26694,24.97822,16
8,121.28048,25.08696,16
1,121.28481,24.90537,16
12,121.33038,24.98073,16
20,121.42622,25.04278,16
91,121.49258,24.99957,16
69,121.50601,25.04105,16
23,121.51500,25.06620,16
3,121.52952,25.05132,16
5,121.52991,25.06250,16
5,121.54847,25.02080,16
6,121.55729,25.08286,16
5,121.56538,25.07984,16
16,121.57839,24.99096,16
7,121.62440,25.07959,16
27,121.62592,25.04858,16
1,121.63303,25.25764,16
13,121.78300,24.80042,16
7,121.84960,24.61258,16
1,119.57124,23.57207,17
2,120.30668,23.56682,17
12,120.50984,23.95390,17
2,120.51357,24.15866,17
2,120.62164,24.21582,17
1,120.69654,23.83574,17
3,120.69697,24.09709,17
1,120.77255,24.35457,17
6,120.79342,24.61287,17
2,120.92489,24.70939,17
13,121.09296,24.91249,17
1,121.20694,24.83951,17
3,121.23194,24.84149,17
14,121.26786,24.97789,17
11,121.30601,25.01030,17
33,121.48136,25.00992,17
24,121.48684,24.99784,17
498,121.48898,25.05119,17
11,121.49873,24.98844,17
5,121.50427,24.98771,17
33,121.50914,25.02329,17
106,121.53976,25.04195,17
24,121.54295,25.04108,17
21,121.55662,25.04098,17
2,121.56710,25.03527,17
1,121.58999,25.28616,17
25,121.66039,25.06720,17
7,121.66336,25.06785,17
3,121.83879,24.61986,17
4,120.24766,23.01004,18
8,120.25054,23.02356,18
1,120.54980,24.18652,18
1,120.59077,24.17109,18
1,120.59094,24.18914,18
7,120.60799,24.16131,18
1,120.81517,24.63486,18
81,121.38509,25.07986,18
9,121.42313,24.98598,18
4,121.52101,25.04642,18
9,121.54354,25.08230,18
6,121.56214,24.98864,18
10,121.57775,25.07872,18
1,121.57960,24.95030,18
2,121.61500,25.05708,18
1,121.62233,23.98685,18
6,121.66967,24.20622,18
1,121.81275,24.67160,18
1,120.19818,23.01711,19
1,120.29709,22.67047,19
1,120.32338,22.72750,19
3,120.65993,24.19430,19
2,120.68339,24.01973,19
1,120.69791,24.07115,19
1,120.81689,24.55225,19
1,120.82257,24.56040,19
4,120.97215,24.82385,19
1,121.05651,24.77107,19
1,121.17583,24.79618,19
5,121.21883,24.87982,19
88,121.27671,24.99330,19
56,121.31520,25.04511,19
8,121.44550,25.16935,19
70,121.45134,25.05078,19
53,121.46219,25.00596,19
686,121.49115,25.03533,19
1,121.49981,24.55636,19
16,121.52334,25.05247,19
1,121.53643,24.49418,19
2,121.54409,25.05945,19
17,121.61751,25.03599,19
2,121.64297,24.13189,19
48,121.73837,25.10652,19
12,121.77433,25.13443,19
4,121.77850,25.13870,19
4,120.44036,23.81125,20
1,120.45887,23.53071,20
1,120.49638,24.09306,20
1,120.53023,24.09049,20
2,120.56685,23.96216,20
1,120.73363,24.58807,20
12,120.78419,24.46206,20
1,120.86224,24.03724,20
5,120.86665,24.72132,20
2,120.89070,24.69855,20
2,120.96864,24.82191,20
13,120.96908,24.80243,20
1,121.02721,24.77626,20
1,121.19102,22.79613,20
4,121.20852,24.86347,20
6,121.36268,24.99352,20
48,121.45675,25.00663,20
49,121.46659,25.00820,20
14,121.50475,24.99985,20
944,121.51011,25.05093,20
88,121.51640,24.97777,20
50,121.51873,25.04572,20
8,121.54584,25.00038,20
16,121.65933,25.06356,20
3,121.67986,25.19265,20
1,120.36039,23.44675,21
4,120.64307,24.24990,21
1,120.65193,24.14461,21
1,120.65653,24.11442,21
1,120.69278,24.04447,21
4,120.69382,24.00372,21
11,120.96131,24.80066,21
3,121.21132,24.90044,21
7,121.25696,24.96425,21
2,121.30260,25.05081,21
9,121.36361,25.05169,21
5,121.37631,25.05142,21
9,121.38280,24.94781,21
16,121.39950,24.94275,21
11,121.40099,25.07575,21
9,121.40156,25.03002,21
18,121.43734,24.97714,21
24,121.46711,24.98834,21
16,121.46752,25.08502,21
57,121.46914,25.00792,21
115,121.54409,25.06446,21
10,121.55459,25.02639,21
6,121.74700,25.13060,21
2,120.20787,23.26199,22
1,120.33250,22.72772,22
1,120.48840,22.71301,22
2,120.51150,23.86551,22
1,120.51446,24.06688,22
1,120.58815,24.13677,22
2,120.64969,24.14864,22
6,120.69120,24.25366,22
1,120.69374,24.07984,22
1,120.93809,24.59094,22
4,120.96465,24.79899,22
6,121.22384,24.94980,22
26,121.37418,25.08213,22
6,121.45361,25.04556,22
28,121.49122,25.08461,22
141,121.49669,25.02397,22
168,121.49863,25.03925,22
68,121.51141,24.98904,22
2,121.51643,25.08720,22
13,121.52050,25.05238,22
104,121.54445,25.05825,22
48,121.57767,25.04069,22
9,121.62491,25.03814,22
4,121.76818,25.15222,22
1,120.47861,23.66707,23
1,120.67597,24.12622,23
1,120.68603,23.75286,23
1,120.71062,23.89299,23
1,120.76385,24.26794,23
1,120.86990,24.40620,23
1,120.92992,22.42025,23
1,121.15814,24.91160,23
1,121.17530,24.95360,23
2,121.20303,24.91639,23
8,121.31666,25.00691,23
9,121.34700,25.09953,23
1,121.35890,25.01657,23
2,121.40788,24.96998,23
8,121.43054,25.03077,23
17,121.46814,25.08256,23
38,121.50813,24.99934,23
38,121.52431,25.05512,23
1,121.55164,25.00360,23
20,121.55254,25.01921,23
10,121.59785,25.06711,23
2,121.69361,25.07778,23
11,121.77000,24.70354,23
4,121.50958,25.08670,07
2,121.51247,24.99846,07
1,121.53697,25.03370,07
1,120.25292,22.99538,08
1,120.56610,23.96640,08
3,120.58400,23.90420,08
6,120.58599,24.05174,08
2,120.64359,24.13565,08
1,120.67358,24.16046,08
1,120.95366,23.96876,08
3,121.02136,24.77886,08
8,121.34666,24.98554,08
1,121.39202,23.60577,08
9,121.44347,25.05147,08
163,121.47728,25.03268,08
76,121.48976,25.05382,08
70,121.49456,25.05821,08
347,121.51929,25.02124,08
395,121.52173,25.05803,08
109,121.52524,25.05489,08
49,121.53449,25.01153,08
17,121.54970,24.99909,08
3,121.57680,23.97496,08
1,121.58168,25.11953,08
3,121.58712,24.97826,08
2,121.72165,24.77095,08
9,121.74740,25.13260,08
3,121.87999,24.91470,08
6,120.30781,22.88916,09
1,120.31581,22.62747,09
3,120.39411,23.82264,09
1,120.45992,23.48047,09
4,120.46457,23.89144,09
1,120.54719,24.08698,09
1,120.58180,23.96902,09
14,120.61749,24.15339,09
3,120.62809,24.35216,09
1,120.67625,24.40449,09
5,120.75909,24.44533,09
2,120.84929,24.64300,09
1,120.90814,24.69203,09
1,120.96111,24.36742,09
3,120.98210,24.63493,09
3,121.00172,24.78906,09
6,121.22097,24.94806,09
7,121.24303,24.97984,09
1,121.25889,24.96251,09
30,121.37210,24.93596,09
38,121.46197,25.01243,09
16,121.47145,25.00252,09
10,121.48135,25.00207,09
17,121.48400,25.18490,09
1,121.49893,25.00310,09
9,121.50391,25.00995,09
39,121.52917,24.95152,09
38,121.54208,25.11734,09
9,121.55074,25.00398,09
6,121.58340,24.98824,09
79,121.64359,25.01238,09
11,121.71616,24.24747,09
2,120.22769,22.95975,10
1,120.25051,23.09905,10
1,120.27541,23.03024,10
2,120.28404,22.95821,10
10,120.61120,23.98038,10
1,120.66410,24.03932,10
4,120.68087,24.08143,10
3,120.99122,24.84608,10
1,120.99846,24.77354,10
9,121.00656,24.79838,10
34,121.18944,24.95499,10
2,121.25911,24.95036,10
1,121.29469,24.93498,10
14,121.32105,24.96499,10
160,121.43482,25.00565,10
14,121.45840,25.18669,10
135,121.46322,25.05731,10
41,121.47165,25.04622,10
103,121.55156,25.08818,10
109,121.55531,25.02519,10
188,121.61873,25.06584,10
2,121.74195,25.12278,10
1,120.21491,22.98211,11
1,120.23631,22.91939,11
2,120.33901,22.64712,11
1,120.34465,23.54975,11
2,120.51748,24.10169,11
1,120.64655,24.14975,11
1,120.67988,24.19287,11
2,120.72504,24.20082,11
3,120.75902,24.38663,11
9,120.89585,24.67688,11
4,120.92360,24.81500,11
1,120.95498,24.79361,11
4,120.99290,24.77570,11
1,121.03774,23.99688,11
